Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Defect),Outward issue link (Tests),Outward issue link (Tests),Custom field (Begin Date),Custom field (Conditions),Custom field (Cucumber Scenario),Custom field (Cucumber Test Type),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Generic Test Definition),Custom field (Manual Test Steps),Custom field (Manual Test Steps (Export)),Custom field (Pre-Condition Type),Custom field (Rank),Custom field (Requirement Status),Custom field (Revision),Custom field (Severity),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps Count),Custom field (Story Points),Custom field (Test Count),Custom field (Test Environments),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Defects),Custom field (Test Execution Status),Custom field (Test Plan Status),Custom field (Test Repository Path),Custom field (Test Set Status),Custom field (Test Sets association with a Test),Custom field (Test Type),Custom field (TestRunStatus),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Execution),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set),Custom field (Tests association with a Test Set)
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-147),AD-808,23903,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,27-01-2021 12:20,27-01-2021 12:20,03-02-2021 04:36,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00arj:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-147),AD-807,23901,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,27-01-2021 12:18,27-01-2021 12:18,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00ar3:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-146),AD-806,23803,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,27-01-2021 09:14,27-01-2021 09:14,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00aq7:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-146),AD-805,23801,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,27-01-2021 09:12,27-01-2021 09:12,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00apr:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Smoke Web Test Execution for End-to-End Metlife BDD (Generated By jenkins-metlife-poc-Build Number-219),AD-804,23300,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,admin,admin,07-01-2021 11:55,07-01-2021 11:55,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00aen:,,,,,,,,,,,,Dev,,,,,,"PASS : 0(0.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 1(100.0%)",,,,,,,ME-2,,,,,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-143),AD-803,23109,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,04-01-2021 10:40,04-01-2021 10:40,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00adj:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-143),AD-802,23107,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,04-01-2021 10:39,04-01-2021 10:39,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00ad3:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-142),AD-801,23104,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,04-01-2021 10:25,04-01-2021 10:25,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00acf:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
Smoke Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-142),AD-800,23102,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,04-01-2021 10:23,04-01-2021 10:23,03-02-2021 04:37,,,,0,Jenkins,smoke,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00abz:,,,,,,,,,,,,Dev,,,,,,"PASS : 5(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-52,AD-51,AD-50,AD-49,AD-48,,,,,,,,,,,,,,,
Regression Web Test Execution for Addressbook BDD (Generated By jenkins-addressbook_new-Build Number-141),AD-799,23013,Test Execution,To Do,AD,Addressbook,software,gopiprasanthp,,,Medium,,,gopiprasanthp,gopiprasanthp,22-12-2020 06:27,22-12-2020 06:27,03-02-2021 04:37,,,,0,Jenkins,Regression,,,,gopiprasanthp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00ab3:,,,,,,,,,,,,Dev,,,,,,"PASS : 2(100.0%), FAIL : 0(0.0%), ABORTED : 0(0.0%), EXECUTING : 0(0.0%), TODO : 0(0.0%)",,,,,,,AD-53,AD-49,,,,,,,,,,,,,,,,,,
