Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Custom field (Approve),Custom field (Defect Type),Custom field (DeployVersion),Custom field (Deployment),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Feature),Custom field (Multi-Checkbox-Test),Custom field (Multi-Checkbox-Test),Custom field (Multiline Text),Custom field (NumberField),Custom field (RadioButton),Custom field (Rank),Custom field (Scheduled end),Custom field (Scheduled start),Custom field (Severity),Custom field (Single Line Text Custom Field),Sprint,Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (UrlField),Custom field (Workflow),Custom field (Zephyr Teststep)
Dev bug which came during testing,SCRUM-25,11293,,Test,Move group closure and Handoff,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,25/Feb/21 12:35 PM,25/Feb/21 12:35 PM,25/Feb/21 2:09 PM,,Release-3,,0,,,admin,,,,,,,,,,,Functional,,,,SCRUM-5,,,,,,,,,"0|i004f3:",,,Minor,,SCRUM Sprint 2,,,,,,,,
New Test,SCRUM-24,11014,,Test,Move group closure and Handoff,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,NikitaB@hexaware.com,admin,admin,09/Feb/21 2:58 PM,25/Feb/21 12:38 PM,25/Feb/21 2:08 PM,,Release-3,,0,This is a new test,,admin,,,,,,,,,,,,,,,,,,,,,,,,"0|i002sn:",,,Critical,,,,,,,,,,
Aws cloud migration,SCRUM-23,10974,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,05/Feb/21 7:51 PM,15/Feb/21 7:28 PM,15/Feb/21 7:32 PM,,Release-3,,0,,,,,,,,,,,,,,,,,,SCRUM-6,,,,,,,,,"0|i002jr:",,,,,AGILE Sprint 1,13.0,,,,,,,
Finish optimization,SCRUM-22,10973,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,04/Feb/21 7:18 PM,04/Feb/21 7:18 PM,05/Feb/21 8:07 PM,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002jj:",,,,,SCRUM Sprint 1,,,,,,,,
test2,SCRUM-21,10909,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,amitsharma39,admin,admin,29/Jan/21 7:46 PM,22/Feb/21 4:28 PM,22/Feb/21 4:13 PM,,,,0,,,,,,,,,,,,SCRUM-24,,,,,,SDFFPOC-59,,,,One,Two,,,,"0|i0029r:",,,Major,,,,,,,,,,
test,SCRUM-20,10908,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,29/Jan/21 7:46 PM,29/Jan/21 7:46 PM,05/Feb/21 8:44 PM,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0029j:",,,,,,,,,,,,,
story-19,SCRUM-19,10758,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,14/Dec/20 3:51 PM,14/Dec/20 3:51 PM,05/Feb/21 8:44 PM,,,,0,,,,,,,,,,,,,,,,,,SCRUM-6,,,,,,,,,"0|i001db:",,,,,,2.0,,,,,,,
Data-Collector Test2,SCRUM-18,10757,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,14/Dec/20 3:49 PM,14/Dec/20 3:49 PM,29/Jan/21 7:50 PM,,,,0,New Test2,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i001d3:",,,,,,10.0,,,,,,,
Data-Collector Test1,SCRUM-17,10756,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,14/Dec/20 3:47 PM,14/Dec/20 3:47 PM,05/Feb/21 8:44 PM,,,,0,This is a new test.,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i001cv:",,,,,,6.0,,,,,,,
Data-Collector Test,SCRUM-16,10754,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,14/Dec/20 2:19 PM,14/Dec/20 2:19 PM,05/Feb/21 8:07 PM,,,,0,Test Story to verify data-collector.,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i001cf:",,,,,,6.0,,,,,,,
assessment,SCRUM-15,10753,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,14/Dec/20 4:36 AM,14/Dec/20 4:36 AM,14/Dec/20 3:51 PM,,,,0,"# write new assessment
 # Integrate with kaiburr
 # test the same",,,,,,,,,,,,,,,,,SCRUM-5,,,,,,,,,"0|i001c7:",,,,,,5.0,,,,,,,
Story-14,SCRUM-14,10752,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,14/Dec/20 4:26 AM,14/Dec/20 4:26 AM,14/Dec/20 4:26 AM,,,,0,,,,,,,,,,,,,,,,,,SCRUM-1,,,,,,,,,"0|i001bz:",,,,,,2.0,,,,,,,
Story-13,SCRUM-13,10751,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,14/Dec/20 4:15 AM,14/Dec/20 4:26 AM,05/Feb/21 8:50 PM,,,,0,,,,,,,,,,,,,,,,,,SCRUM-1,,,,,,,,,"0|i001br:",,,,,,8.0,,,,,,,
Story-Test3,SCRUM-12,10750,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,11/Dec/20 3:27 PM,11/Dec/20 3:27 PM,14/Dec/20 4:15 AM,,,,0,This is sample story.,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i001bj:",,,,,,6.0,,,,,,,
Story test -2,SCRUM-11,10749,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,11/Dec/20 3:18 PM,11/Dec/20 3:18 PM,25/Feb/21 2:10 PM,,,,0,This is a new story for testing.,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i001bb:",,,,,,10.0,,,,,,,
Story for testing.,SCRUM-10,10748,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,11/Dec/20 3:07 PM,11/Dec/20 3:07 PM,14/Dec/20 4:15 AM,,,,0,This is just a story for testing.,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i001b3:",,,,,,5.0,,,,,,,
subtask3,SCRUM-9,10703,10301,Sub-task,Preflight Migration Checks,SCRUM,SCRUM-TRAINING,software,admin,,,Highest,Done,,admin,admin,28/Oct/20 5:57 PM,28/Oct/20 5:57 PM,25/Feb/21 2:10 PM,28/Oct/20 5:57 PM,,,0,This is another subtask,,admin,,,,,,,,,,,,,,,,,,,,,,,,"0|i00113:",,,,,SCRUM Sprint 2,,,,,,,,
subtask-2,SCRUM-8,10702,10301,Sub-task,Preflight Migration Checks,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,Done,admin,admin,admin,28/Oct/20 5:55 PM,28/Oct/20 6:41 PM,25/Feb/21 2:10 PM,28/Oct/20 6:41 PM,,,0,This is another subtask.,,admin,,,,,,,,,,,,,,,,,,,,,,,,"0|i0010v:",,,,,SCRUM Sprint 2,,,,,,,,
sample subtask,SCRUM-7,10701,10301,Sub-task,Application Questionnaire,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,admin,admin,admin,28/Oct/20 5:36 PM,03/Nov/20 2:30 PM,05/Feb/21 10:24 PM,,JKI - Release 1,,0,This is a sample subtask,,admin,,,,,,,,,,,,,,,,,,,,,,,,"0|i0010n:",,,,,SCRUM Sprint 2,,,,,,,,
Timeline View Upgrade,SCRUM-6,10308,,Epic,Move group closure and Handoff,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,14/Apr/20 8:52 PM,05/Feb/21 7:51 PM,05/Feb/21 8:07 PM,,,,0,,,admin,,,,,,,,,,,,,,ghx-label-10,,Timeline View Upgrade,To Do,,,,,,,"0|i0004n:",,,,,,,,,,,,,
Timeline View Upgrade,SCRUM-5,10307,,Epic,Move group closure and Handoff,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,14/Apr/20 8:52 PM,25/Feb/21 12:35 PM,29/Jan/21 7:50 PM,,,,0,,,admin,,,,,,,,,,,,,,ghx-label-8,,Timeline View Upgrade,To Do,,,,,,,"0|i0004f:",,,,,,,,,,,,,
SVN data collector,SCRUM-4,10303,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,13/Apr/20 6:13 PM,13/Apr/20 8:25 PM,25/Feb/21 2:10 PM,,,,0,SVN data collector,,,,,,,,,,,,,,,,,SCRUM-1,,,,,,,,,"0|i0003j:",,,,,SCRUM Sprint 1,3.0,,,,,,,
bitbucket,SCRUM-3,10302,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,johnsmith,admin,admin,13/Apr/20 6:05 PM,13/Apr/20 6:06 PM,30/Jan/21 8:37 PM,,,,0,1. collect data from bitbucket,,,,,,,,,,,,,,,,,SCRUM-1,,,,,,,,,"0|i0003b:",,,,,,,,,,,,,
github,SCRUM-2,10301,,Story,Pending Refinement,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,,admin,admin,13/Apr/20 6:05 PM,30/Jan/21 9:02 PM,25/Feb/21 11:59 AM,,JKI - Release 1,,0,,,,,,,,,,,,,,,,,,SCRUM-1,,,,,,,,,"0|i00033:",,,,,SCRUM Sprint 2,3.0,,,,,,,
collect data from all code repo tools,SCRUM-1,10300,,Epic,Move group closure and Handoff,SCRUM,SCRUM-TRAINING,software,admin,,,Medium,,thang,admin,admin,13/Apr/20 6:04 PM,14/Dec/20 4:26 AM,29/Jan/21 7:53 PM,,,,0,,,admin,,,,,,,,,,,,,,ghx-label-1,,Repository-Data-collectors,To Do,,,,,,,"0|i0002v:",,,,,,,,,,,,,
